feature	coef	Family_Name
M1340_1.02_REV_7	-0.990543698873056	Myb/SANT
M0841_1.02_REV_6	0.986300269382447	Homeodomain
M0151_1.02_FWD_1	0.985021268077452	bHLH
M1314_1.02_REV_1	-0.98367491360085	Myb/SANT
M0373_1.02_REV_5	0.974822681394504	C2H2 ZF
M0145_1.02_FWD_1	0.973361298292298	AT hook
M0847_1.02_FWD_4	-0.973280224126751	Homeodomain
M0373_1.02_REV_1	0.9731800520015	C2H2 ZF
M1335_1.02_REV_1	-0.969445410424459	Myb/SANT
M0589_1.02_REV_2	0.969078125531895	CxC
M1277_1.02_FWD_1	-0.969011294572927	MADF
M1642_1.02_REV_5	0.96319227645648	TBP
M00503_ATHB5_01_FWD_6	-0.962216296672713	Homeobox
M0852_1.02_REV_1	0.958842634783409	Homeodomain
M0845_1.02_FWD_7	-0.958417399327819	Homeodomain
M0583_1.02_REV_1	-0.95249735750419	CSD
M0589_1.02_FWD_2	0.938717168967836	CxC
M1314_1.02_FWD_2	0.929586699132126	Myb/SANT
M1340_1.02_REV_1	-0.929125166900821	Myb/SANT
M1619_1.02_FWD_1	-0.915831475151552	Storekeeper
M1363_1.02_REV_1	0.913648036797283	Myb/SANT
M00503_ATHB5_01_FWD_5	-0.90921611528551	Homeobox
M0011_1.02_FWD_3	-0.903346855643809	AP2
M0028_1.02_REV_4	-0.902677796714653	AP2
M1277_1.02_FWD_3	0.900905645584449	MADF
M1645_1.02_FWD_7	0.897359387666253	TCP
M1416_1.02_FWD_4	0.893113872008962	NAC/NAM
M0844_1.02_REV_5	-0.887014051256631	Homeodomain
M0590_1.02_FWD_1	-0.885366337181932	CxC
M1642_1.02_REV_6	0.87529512381175	TBP
M1618_1.02_FWD_2	0.87462461225188	Storekeeper
M0370_1.02_REV_3	-0.867916605605704	C2H2 ZF
M0273_1.02_REV_7	-0.865030828079294	bZIP
M0849_1.02_FWD_2	-0.856299269104769	Homeodomain
M0849_1.02_REV_4	-0.852196803428637	Homeodomain
M1618_1.02_REV_2	0.850684561886836	Storekeeper
M0165_1.02_REV_6	0.841332864644881	bHLH
M1401_1.02_FWD_6	-0.840433722300007	NAC/NAM
M1195_1.02_REV_3	-0.838100243039982	Homeodomain
M01050_ARR10_01_REV_2	0.835088944283464	ARR-B
M01050_ARR10_01_REV_2	0.835088944283464	Response Regulator
M1564_1.02_REV_5	0.808498780431653	SBP
M1338_1.02_REV_3	0.797052923160968	Myb/SANT
M1567_1.02_FWD_2_OC_P_LEAF	0.796233992477961	SBP
M0268_1.02_REV_7	0.795407186977973	bZIP
M0257_1.02_FWD_5	-0.794931486263667	bZIP
M0654_1.02_REV_4	0.793735821276758	Dof
M0006_1.02_REV_3	-0.791445752313639	AP2
M0151_1.02_FWD_5	0.784739471852357	bHLH
M0651_1.02_REV_6	-0.78050444721116	Dof
M1642_1.02_REV_7	-0.774765553734019	TBP
M1648_1.02_REV_2	0.771290057690938	TCP
M1688_1.02_FWD_4	-0.768022869389973	WRKY
M1329_1.02_FWD_4	0.767388620909459	Myb/SANT
M1346_1.02_FWD_1	-0.758722539332741	Myb/SANT
M0266_1.02_FWD_6	0.757707266250433	bZIP
M1340_1.02_FWD_1	-0.756135910824819	Myb/SANT
M0271_1.02_REV_7	0.756028501759043	bZIP
M0167_1.02_FWD_2	-0.754096834331868	bHLH
M0262_1.02_FWD_2	0.753641375606697	bZIP
M0842_1.02_REV_3	-0.749906273079462	Homeodomain
M00404_MADSB_Q2_FWD_4	-0.742567159480604	MADS-box
M00404_MADSB_Q2_FWD_4	-0.742567159480604	MADS
M01059_AGL1_01_REV_3	0.739204197426614	MADS-box
M01059_AGL1_01_REV_3	0.739204197426614	MADS
M1940_1.02_REV_2	0.733917647888737	C2H2 ZF
M0849_1.02_FWD_4	-0.732695438031614	Homeodomain
M0145_1.02_REV_7	-0.728520323972732	AT hook
M0257_1.02_REV_3	-0.724786603348358	bZIP
M0166_1.02_FWD_3	-0.713821146317174	bHLH
M1686_1.02_FWD_6	-0.709189833508452	WRKY
M01191_HDG7_01_REV_2	0.708752517701229	Homeobox
M1410_1.02_REV_3	-0.706488904060861	NAC/NAM
M0269_1.02_REV_1	0.701739325162097	bZIP
M1649_1.02_REV_7	-0.701395716563956	TCP
M0017_1.02_FWD_1	-0.70055639081004	AP2
M1277_1.02_FWD_5	-0.694930967393499	MADF
M0018_1.02_REV_7	-0.687950793683156	AP2
M1322_1.02_FWD_5_OC_P_ROOT	0.683883076573892	Myb/SANT
M1688_1.02_FWD_2	-0.682782039548418	WRKY
M1642_1.02_REV_3	0.675374717342915	TBP
M0651_1.02_REV_5	-0.668798814100015	Dof
M0764_1.02_FWD_4	-0.664992216727426	GATA
